,Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
43278,43278,Green Day,Fuck Time,0aa5ab14xrlJm3GEmwDdtc,37,2012,punk,0.625,0.892,11,-3.194,0,0.0606,0.000702,0.0868,0.127,0.45,131.982,165773,4
43279,43279,MOD SUN,Happy As Fu*k (feat. Pat Brown),0lEtFXBncZfDKm8m70zEwG,30,2012,punk,0.697,0.937,7,-2.291,1,0.211,0.00574,0.0,0.208,0.555,95.976,227000,4
43280,43280,Punchline,Universe,366Sci5jhbLI3BGW4FaCTM,33,2012,punk,0.468,0.902,10,-4.9,1,0.0508,0.00275,1.34e-05,0.0964,0.767,149.942,209267,4
43281,43281,Linea Aspera,Eviction,1KsDx0jzpXVr97vvSKzNfz,37,2012,punk,0.499,0.818,9,-6.646,0,0.0308,0.000989,0.154,0.184,0.695,145.01,243161,4
43282,43282,Yellowcard,Sleep In The Snow,7J10tcevpAIx05rzvCYbaj,31,2012,punk,0.418,0.96,2,-3.119,1,0.0681,9.73e-05,6.21e-06,0.102,0.421,163.997,242677,3
43283,43283,Yellowcard,Ten,5ex7c41lNP0qVzgQNmT0D4,31,2012,punk,0.471,0.576,7,-6.435,1,0.0278,0.435,0.0,0.143,0.472,126.714,286866,4
43284,43284,Japandroids,Younger Us,2KrsMeItm3gauDyrXWx99Z,31,2012,punk,0.0692,0.977,9,-2.972,1,0.0801,4.84e-05,0.021,0.38,0.264,185.219,212912,4
43285,43285,All Time Low,So Long Soldier (feat. Anthony Raneri),72J91Mgzj9bHQATxKq5G4D,33,2012,punk,0.405,0.979,4,-3.159,1,0.213,0.000128,2.69e-06,0.0742,0.334,190.098,169046,4
43286,43286,The Bastard Suns,My Pint,0PbGQfcCmKAYaNDg50hhcE,31,2012,punk,0.51,0.821,0,-6.084,1,0.0545,0.0909,0.0,0.17,0.869,176.943,189627,4
43287,43287,Less Than Jake,Look What Happened,3DCE0T6kcgmQIZi1p1Uh7z,30,2012,punk,0.597,0.846,4,-5.335,1,0.0647,0.0107,0.0,0.117,0.649,89.893,214427,4
43288,43288,Green Day,Sweet 16,0dDept3NG63mlj7iJ8sVho,35,2012,punk,0.519,0.96,0,-3.352,1,0.0537,0.000571,3.88e-06,0.294,0.774,157.993,183813,4
43289,43289,The Stanfields,Run on the Banks,0Ykp6XT83Ews6B7Dr1plzm,36,2012,punk,0.382,0.872,7,-4.183,1,0.0392,0.0012,1.63e-06,0.432,0.503,138.67,264187,4
43290,43290,Kilmaine Saints,Swallowtail Jig,4UbByb2GqbV0jhGHTqUchd,30,2012,punk,0.252,0.894,6,-4.596,0,0.0532,0.254,0.92,0.388,0.945,85.883,125253,4
43291,43291,Fucking Werewolf Asso,"Keep my adress to yourself, cause we need secrets!",7a7NezmwTmtpisLoDc708Q,33,2012,punk,0.212,0.695,6,-6.207,0,0.0464,0.000492,0.000337,0.207,0.225,148.046,175789,4
43292,43292,William Beckett,Stuck in Love (feat. Ryan Ross),0KZps5gQKMxWtYMLwcnpzd,30,2012,punk,0.56,0.865,9,-4.446,0,0.0653,0.0633,0.0,0.33,0.754,157.008,177627,4
43293,43293,Reel Big Fish,The Promise,4D8j0lVDkHeCP5yjZQH8Me,28,2012,punk,0.784,0.696,0,-3.948,1,0.0333,0.0122,0.0,0.168,0.833,135.075,194600,4
43294,43294,Green Day,Amanda,2UzfHTlaqddnFOiPTLsxKm,34,2012,punk,0.458,0.952,11,-4.146,1,0.0553,0.000197,3.12e-05,0.351,0.563,159.901,148067,4
43295,43295,Green Day,Wild One,74P24CWiQDGgHqDc2qHtBr,34,2012,punk,0.541,0.914,2,-2.956,1,0.0286,0.000473,0.00329,0.0679,0.529,99.994,259680,4
43296,43296,The All-American Rejects,Someday's Gone,5N9K1j2baY9ml4axi0dYNs,27,2012,punk,0.547,0.739,6,-5.858,1,0.0453,0.00174,0.0023,0.131,0.278,115.929,205080,4
43297,43297,Linea Aspera,Malarone,0WC0j1iLJRkb6P041h4jiU,36,2012,punk,0.589,0.656,8,-9.823,1,0.0306,0.0396,0.00302,0.215,0.631,134.01,251827,4
43298,43298,Reel Big Fish,Your Girlfriend Sucks,52L1rJgxT0knQcwneI58Hu,29,2012,punk,0.492,0.975,4,-1.905,1,0.0953,0.0243,0.0,0.0873,0.882,184.97,210053,4
